#,id,snapshot_time,job_type,total_messages,unique_messages,avg_latency,min_latency,max_latency,p50_latency,p95_latency,p99_latency,stddev_latency,duplicate_messages,duplicate_rate,max_process_count,total_reprocess_count,throughput_per_sec,time_window_sec,data_range_start,data_range_end,note
19,19,2025-12-24 00:18:53,flink,1800000,1800000,65889.66,10,131349,177099.0,120445,128679,35318.59,489148,27.1749,3,708135,3683.87,489,1766505874469,1766506595593,flink-qps3000-data1800000-外部故障jm-2-60
20,20,2025-12-24 00:34:56,flink,1800000,1800000,62376.17,10,123183,123777.0,116966,121788,35024.1,519011,28.8339,2,519011,3752.35,480,1766506873094,1766507536620,flink-qps3000-data1800000-外部故障jm-1-60
42,42,2025-12-26 17:47:41,flink,1800000,1800000,63256.87,10,124346,380579.0,118163,122903,35228.24,779883,43.3268,4,1498871,3753.00,480,1766741313556,1766742234045,flink-qps3000-data1800000-外部故障jm-3-60
44,44,2025-12-29 13:23:34,flink,1800000,1800000,65833.71,10,131585,363655.0,120683,128947,35509.08,495000,27.5,5,1380245,3690.00,488,1766984821338,1766985728452,flink-qps3000-data1800000-外部故障jm-4-60
