#,id,snapshot_time,job_type,total_messages,unique_messages,avg_latency,min_latency,max_latency,p50_latency,p95_latency,p99_latency,stddev_latency,duplicate_messages,duplicate_rate,max_process_count,total_reprocess_count,throughput_per_sec,time_window_sec,data_range_start,data_range_end,note
15,15,2025-12-23 21:15:09,storm,1800000,1800000,6999.95,13,141994,526.0,54459.0,75312.0,16973.71,53659,2.9811,4,66774,3048.83,590,1766494762039,1766495361942,storm-qps3000-data1800000-外部故障worker-2-60
35,35,2025-12-25 12:58:39,storm,1800000,1800000,1714.66,10,89553,471.0,10153.0,23802.0,4181.0,18248,1.0138,3,18307,3057.31,589,1766638087905,1766638687806,storm-qps3000-data1800000-外部故障worker-1-60
37,37,2025-12-25 15:13:07,storm,1800000,1800000,12499.81,13,133088,2167.0,51575.0,67560.0,17674.38,63516,3.5287,4,64318,3086.48,583,1766646090977,1766646690871,storm-qps3000-data1800000-外部故障worker-3-60
39,39,2025-12-25 15:26:47,storm,1800000,1800000,10587.15,13,154602,620.0,68894.0,88989.0,21399.75,88734,4.9297,5,105233,3051.28,590,1766646977786,1766647577688,storm-qps3000-data1800000-外部故障worker-4-60
