#,id,snapshot_time,job_type,total_messages,unique_messages,avg_latency,min_latency,max_latency,p50_latency,p95_latency,p99_latency,stddev_latency,duplicate_messages,duplicate_rate,max_process_count,total_reprocess_count,throughput_per_sec,time_window_sec,data_range_start,data_range_end,note
16,16,2025-12-23 22:04:04,storm,1800000,1800000,1633.14,13,18285,466.0,11756.0,16743.0,3603.78,0,0.0,1,0,3088.89,583,1766497909097,1766498509003,storm-qps3000-data1800000-外部故障nimbus-2-60
45,45,2025-12-29 13:39:31,storm,1800000,1800000,1366.89,13,16045,460.0,9718.0,14691.0,3016.9,0,0.0,1,0,3078.97,585,1766986071246,1766986671165,storm-qps3000-data1800000-外部故障nimbus-1-60
46,46,2025-12-29 14:29:20,storm,1800000,1800000,988.68,13,12727,447.0,6250.0,11237.0,2099.41,0,0.0,1,0,3060.46,588,1766989046498,1766989646402,storm-qps3000-data1800000-外部故障nimbus-3-60
47,47,2025-12-29 14:44:41,storm,1800000,1800000,1436.25,13,16726,458.0,10302.0,15289.0,3183.04,0,0.0,1,0,3081.37,584,1766990015557,1766990615455,storm-qps3000-data1800000-外部故障nimbus-4-60
