id,snapshot_time,job_type,total_messages,unique_messages,avg_latency,min_latency,max_latency,p50_latency,p95_latency,p99_latency,stddev_latency,duplicate_messages,duplicate_rate,max_process_count,total_reprocess_count,throughput_per_sec,time_window_sec,data_range_start,data_range_end,note
64,2026-01-02 21:56:40,storm,300000,300000,21010.55,7676,32183,21037.0,30333.0,31357.0,5912.05,500,0.1667,2,500,3487.12,86,1767361776548,1767361889564,storm-qps3000-data300000-内部故障-200-1500
65,2026-01-02 22:08:31,storm,300000,300000,12380.16,485,22581,12398.0,21363.0,22149.0,5682.66,1000,0.3333,2,1000,3514.12,85,1767362704556,1767362808077,storm-qps3000-data300000-内部故障-150-2000
66,2026-01-02 22:15:07,storm,300000,300000,15260.66,2626,26192,15262.0,24376.0,25332.0,5760.37,1500,0.5,2,1500,3521.42,85,1767363041741,1767363147833,storm-qps3000-data300000-内部故障-100-3000
