#,id,snapshot_time,job_type,total_messages,unique_messages,avg_latency,min_latency,max_latency,p50_latency,p95_latency,p99_latency,stddev_latency,duplicate_messages,duplicate_rate,max_process_count,total_reprocess_count,throughput_per_sec,time_window_sec,data_range_start,data_range_end,note
12,12,2025-12-23 19:41:26,flink,1800000,1800000,46988.52,3,170401,668.0,157927.0,167701.0,62278.9,128382,7.1323,3,177120,2649.13,679,1766489287796,1766489971220,flink-qps3000-data1800000-外部故障network-2-60
49,49,2025-12-29 21:15:12,flink,1800000,1800000,96258.34,4,277914,29450.0,265334.0,275073.0,108247.79,173408,9.6338,4,329486,2314.76,778,1767013088305,1767013869226,flink-qps3000-data1800000-外部故障network-3-60
51,51,2025-12-29 21:56:02,flink,1800000,1800000,123891.92,3,362110,697.0,349661.0,359270.0,153846.06,104549,5.8083,5,346874,2084.53,864,1767015564005,1767016431781,flink-qps3000-data1800000-外部故障network-4-60
58,58,2025-12-30 00:53:01,flink,1800000,1800000,18510.41,3,94374,679.0,82069.0,91752.0,28349.87,76571,4.2539,2,76571,3019.39,596,1767026503177,1767027103088,flink-qps3000-data1800000-外部故障network-1-60
